text,hate_label,topic_label
"May Allah protect all the Kashmiri out there facing the threat, May we get the strength to help them out in their hardships. Please always remember them in your prayers We ourselves can't do anything but our prayers have the power.  #KashmirUnderThreat",0,religion
"In the antebellum U.S., a white slaver just bought a slave's grandchild. URL",0,race
"Is the middle finger now the new nigger or negro word? So emotionally sensitive you low IQ savage. Wish that I was there with index finger on trigger. Dealing with these types of ""humans"" day to day will turn us all into ruthless bloodthirsty savages. For many reasons #ANTIWHITE",1,race
@bweesdad @ZerlinaMaxwell Apparently you've never heard of the inclusive or. How are some of you so bad at English. Did your brains rot? He is saying that black people face an unequal justice system regardless of whether they are rich or poor. It's not hard to understand.,0,race
Cute hott arab girl show 😛😛😛 URL,0,gender
I just fuck dis gangsta ass bitch reason why I'm reckless,0,others
Facts . That's why I cut these hoes off,0,gender
womyn are trash!,1,gender
Hate bitches who swear they mfkn SOMEBODY 🖕🏾. Come direct or shut up w/your irrelevant fraudulent ass. #fakeSAMOAN🙄,0,gender
"@mrxbone Any man who does that got to castrated, he doesn't deserve to enjoy sex",1,others
I hate these hoes,0,gender
"what happened to the women is unimaginable-unwritable😭😡 More than a million died along the journey,caravans of refugees just walked for days to reach R camps erected in cities, pushed to the brink by violence,looting,food shortages... Someone had the last laugh! #ModiFor2019 URL",0,gender
Hear that inferior fag bitch scream and whimper while it gets fully loaded with alpha babies. URL,1,others
Fuck nigga I might spit in yo face,1,race
This is actually so grody this is giving me high school teas... like mentally ill people are not here for you to crack jokes with mama.... making them say slurs for a reaction vid how low can you get,0,others
"She had never had the pleasure of being fucked by a vanilla boy and the very thought of a white cock in her cunt makes her cum more than ever. Oh, sexy sweet Erika, don't worry!!! URL",0,others
URL   [JAVHD] Yuki Aida Asian with huge jugs gets dong in cunt with haircut URL,0,others
"I was raised in the deep end, I know niggas be sinking",0,others
Hehe let's convert you slut! You'll be like me! A feminine beauty with the cock of a breeding horse! You'll be cursed with this fat insatiable cock! Hehe so you had better find us both a whore to fuck! URL,1,others
"@bprerna Wear hijab and finger inside your ear.  Jai Sri Ram is my recognition, my culture.  You do allahoakbar.... I hv no issue",0,religion
"@m0rtalgod @SmithVinci @itz_Mannie @thatSkool_Boi @Leeleehan3 @folahankuku @IAMTJB01 @bunmo4 Thanks brother...We will troll them until their government start doing something about it, sick folks and this one is here forming woke when your countrymen are being killed like animals.",0,others
"As #PrideMonth starts, remember that 50 yrs ago the Stonewall Inn was raided by police giving rise to the Stonewall riots. This is how the lgbtq movement began & our rights are still under attack. Don't stop fighting for equality even if the rights you fight for are not your own. URL",0,sexual orientation
Niggas get a lil clout and forget they still a bitch,1,others
Indians are the most shitty ppl alive on this plannet ..,1,others
kelly kelly really out here paving the way for women and making history in 2019... her mind is so powerful it amazes me sometimes! URL,0,gender
- @cathmckenna admits to using Nazi propaganda techniques - @iamIqraKhalid gives awards to anti-semites  - @JustinTrudeau brands Canada as genocidal nation triggering a UN investigation - @JustinTrudeau says hate against women in Canada is on the rise Seriously WTF??,0,politics
yea im sure the reason why u dont have a girlfriend is because of abortion...sure....thats it....Vatican flag twitter guy. URL,0,gender
Asian people be 60 years old and afraid of their own shadows 😂 URL,0,race
"@cathmckenna A lying privileged white girl who steals from the Canadian taxpayers and SHOOTS more SHIT into the oceans talking about ""Conservative"" waste...really MCKENNA....REALLY!SMFH",1,race
"Trump's wife need to go back where she came from. Trump Cheeto ass just needs to be assassinated already. Fuck him, he created this shit for racists and etc to be comfortable saying shit anyone who ain't a white privileged male. #IStandwithErica",1,race
@ScottWalker I only hate America because you look like a bitch,0,race
You racist bigoted mental case go away and die in a corner URL,0,race
"Jesus the men on #fabswingers  Tell someone you're not interested and all hell breaks loose  Guys, I don't have to fuck you just because you tell me I have a great arse. I know I do. But telling me doesn't mean you're gonna get to fuck me 🤦‍♀️ Fucking idiots",0,others
I'm done with dumb bitches,1,gender
"@MonteroOnBoxing Why is this an issue? Fernando Vargas, Mikey garcia claimed there Mexican heritage as well",0,race
"If justice has not been brought to the Deep State, Illegals, Muslims who refuse assimilation, treasonous Democrats by Jan 20, 2024, the day @realDonaldTrump leaves office, here is the deal: There will be a Civil War. All of the above will be forcefully removed, and border sealed",1,politics
"As President, I'll immediately push to finally rewrite our nation's immigration and naturalization laws in our own image -- strengthening our families, communities, and economy. Read our full immigration plan here: URL URL",0,immigration
"Remember that time Jesus affirmed the man who left his neighbor to die on the side of the road? Yeah, me neither. URL",0,others
"( 2B has infinite ways to pleasure someone or fit to their needs.  You wanna get dominated by a futa? she's got you  You want sweet caring motherly dom? she's got you  You want an android that insults your dick size, and fucks with a bigger man she's got you.  She has it all.",0,gender
*Puts plucked grey hairs under my pillow and waits for the youth fairy to come*,0,others
#Jordan: Officials have waived work permit requirements for non-citizen children of Jordanian mothers. Read more here: URL #GlobalMobility #Immigration #HumanResources URL,0,immigration
"We have received ""criminal punishment"" such as ""a penalty sentence"". And they are foreigners who have been forced to repatriate. We arrest a third party for ""supporting"" the aforementioned ""illegal labor"" of foreigners. The victim is me or ""Kin Gungaku who is Chinese"".",0,others
"For straights who think this is ok: when did u come out as straight? Was anyone in ur life unaccepting of ur sexuality? How oppressed do u feel on a day to day basis for being straight? Are u scared to hold ur s/o's hand in public? Why do u need a ""straight pride"" parade/event? URL",0,sexual orientation
Anyone who supports ISIS terrorism globally should be eradicated.,1,others
YALL DO NOT LET THESE BITCH ASS NIGGAS MAKE U FEEL LIKE SHIT CAUSE THEY AINT SHIT 💀💀💀💀,1,others
I literally need to stop fuckin w dudes that don't give a single fuck about me.,0,others
📹 alphamalenyc: Be useful and entertaining faggots. URL,0,sexual orientation
Horny BBW MILF cocksucking while queening her masseur 🎥 Watch her yourself: URL join to enjoy! #bbw #plumperd URL,1,gender
Gay jerk off his dick with vibro dildo in ass and cumshot URL,0,gender
"@TRB_Respawn touch my cock and balls and you'll get a forced lobotomy, dumb cunt",1,others
"Twitter has all kinds off Ladies (women, girls) be it thick, slender, phat, beautiful, not so beautiful, nice, not so nice... You name it  Twitter has it all I appreciate you all",0,gender
@deepsealioness @AnupamPKher Fuck off your words. You belong to a terrorist religion. So will hate hindus.,1,religion
@steak_umm i won't start beef as long as you support the lgbt,0,sexual orientation
@Jestrgurl @MarshaWarfield @Bishopoftyler There are those who use the Bible as a weapon to spew forth hatred and bigotry. Then there are those who use the Bible to teach love and acceptance. WWJD,0,religion
Look at that loose cunt leaking loads. That must have been drilled and filled by multiple cocks. It'd make a great gangbang whore. 😛💦😈 #manpussy #gay URL,1,sexual orientation
@Real_Alex_Ander Fuck religious extremism,0,religion
Black Americans are standing up for President Trump because they know he believes in all Americans.,0,race
If yo dick game don't start my period early lower your voice when you talk to me.,0,gender
This is the reward to the world for not stopping Putin after: • Moscow apts were bombed by Kremlin security services • Russia invaded Chechnya • Russia invaded Georgia • Russia invaded Ukraine • Russia now bombing Syrians into oblivion URL,0,politics
Wombs for rent - Scores of Jamaican women advertising to be surrogates in booming multimillion-dollar business URL via @jamaicagleaner,0,gender
"""We must be freedom fighters."" @CoryBooker gives a profound history of race and racism to show a path forward for all Americans to recommit to the ideals of liberty and justice for all. Stirring words from Charleston. @CoryForNH #FITN #nhpolitics",0,race
"Y'all really out here getting pregnant by the same niggas you been on and off with for 6 years, keep you as a secret and cheat on you!? Y'all buggin tf out. You don't ""win"" cus you have his baby, you dumb bitches.",1,gender
Bitch u a dog and ur homegirl too,1,gender
"Calling your girl a ""bitch"" is so ugly",0,gender
LGBT pissing me off now smfh URL,0,sexual orientation
"@IanGule @AdequateEmily Yeah, but if you make sound during sex, it sounds like you're getting a dude off, and that would be gay",0,sexual orientation
@lanitas_kitchen 5 fucking mins is too muthafuckin long! Give @slysinzu muthafuckin 47seconds and that peppered turkey's IP wld be tracked to his small intestine! Nigga is a certified HYENA in nupe clothing,1,others
@hannaranae Fucking whores,1,gender
"With pride arriving in just a couple days here, let this be your reminder. ACE PEOPLE ARE PART OF THE LGBTQ+ COMMUNITY. URL",0,sexual orientation
Little dicks deserve to suffer and so do the pathetic man-babies attached to them. URL,1,gender
"@SheaSerrano I can't. But good on many of those Mississippi locals who are doing what they can for those kids. The. Cruelty. Is. Stunning. I wish I could say, ""This isn't America."" But, it is.",0,others
"@Sir_Bintercomb @Tafoyovsky @steveouttrim @wordman34842468 @RasAlGhul_33 @Gingrich_of_PA @Jared_T_Swift @politicsonedge @NewYorkCityGuns @GingerMcQueen @Jaxhana @Jethro82017032 @AnOpenSecret @DoctorSekzi @MajesticAngel01 ok your a zio...i assume,very nice touch kids destroy all total racist be very proud of that steve in your own twited mind,omg,plz leave my country,we don't want you,the torah REAL JEWS DON'T WANT YOU STEVE, they want american freedom,not destruction steve/your operative period",1,race
"Check out over 100 new historical LGBT t-shirts added TODAY from the @Ihlia archives of Amsterdam, now LIVE on URL 🏳️‍🌈 #twitterstorians #queer #archives #histsex URL",0,sexual orientation
Czech 🇨🇿 porn hunk @CharlieDeanPorn fucks @AryaStarkPorn wet pussy @21sextury ! URL,0,others
Fuck that stupid bitch.,1,gender
"Smh I thought women, children, women with children, and pregnant women were off limits. The streets just don't give af no more URL",0,gender
"@Know_Thy_Self99 @RickyRawls @AnthonyGrea8t @tyynastyy @Jasi_two 1. That's BS and you know it. Rhianna slave play loving ass? Serena, sleeps with 4chan ass?  2. Wider audience to what? Name a job ask u to recite lil ducal lyrics to get hired. That black intersectional feminist garbage is mandatory in college tho. Nice try.",0,gender
We nuh fuck white gyal and beg them citizenship,1,race
love me some stick and ball with the boys @SBankees,0,gender
"""I have been a lesbian all my life, for eighty-two years, and I am proud of myself and my people. I would like all my people to be free in this world, my gay people and my black people."" — Mabel Hampton #blackwomenradicals #BlackDiasporaPride #PrideMonth URL",0,sexual orientation
"The idea of a straight pride parade sounds like when I used to ask my parents why there was no kids day when there is a Mother's Day and a Father's Day.  ""Because every other day is kids day""",0,others
"I would never EVER have a woman eat my ass, nah that goes against my pride, you can eat this DICK🍆 thats about it. Im a nasty nigga but not that nasty #Nomam #sorrynotsorry",0,gender
get those kids out of concentration camps first you dick URL,0,others
Her pussy undoubted lol,0,gender
@BeatManBam @makelco That nigga back built like the Berlin Wall,0,race
broke? No second job? Can't stop browsing #findom twitter? Then rinse other beta losers out there and send earnings to your domme. Simple.,0,gender
My cuckold bitch Stephen has had so much cum down his throat I'm surprised he hasn't shot out triplets yet. #forcedbi #cuckold,0,gender
"""Niggas ain shit "" Ight bitch who date white men 🙃",0,race
@fyfriendlyfire @rulaaxo how about this? Two dicks in your pussy at the same time?!?,1,gender
The zits that are Harriet Tubman level underground but massive at the same time... r fucked up,0,race
#Lahore based Bhagat Singh Memorial Foundation paid tributes to freedom fighter Udham Singh on his 79th martyrdom day at Lahore High Court Bar Association. The foundation members demanded from #Pakistan government to include life history of Udham Singh into school curriculum. URL,0,others
#Palestinians complain about '#occupation'. We need to remember why the 'occupation' happened. It was the result of aggressive wars waged against Israel by neighboring #Arab states. Now you know! URL,0,politics
"Owing to increasing population, to stop Bumhrah impregnating more women with his balls team India deliberately lost #INDvNZ match to play a match less.",0,gender
PROPHET MUHAMMAD PBUH SAID.❣ The strongest bond of faith is loyalty for the sake of Allah and opposition for His sake.🌹,0,religion
I Got Way Too Many Girl Cousins In My Family To Ever Dick Ride Another Bitch For A Friendship !,0,gender
@masonsmiff @naturaalmystic_ She's one of those lesbian that's may not be getting good pussy so she's being a asshole.,0,sexual orientation
"@BettyWBC I'm visiting the least of churches, people dont seem to like yall. Your welcome",0,religion
"If you are reading this, I will never ask you to prove your gender or sexuality to me. You are valid regardless of the myriad gatekeepers out there, especially the ones within our very own LGBTQIA+ communities. Be you.",0,gender
#GiveRosieASolo already dumb b!tch,1,gender
bitch edgy thot edgy,0,gender
We need to shake ourselves from this patriarchal mindset of being thankless providers and get what we deserve bro. URL,0,gender
I thought y'all were joking about this straight pride parade. I'm absolutely appalled at this. Who the fuck thought that was ok? If you're straight you've always got privilege. You don't need any sort of appreciation.,0,sexual orientation
"I met my first gay person, who was one of my brother's friends, when I 14. I was still really invested in my Methodist faith until about 17. I knew the rule - ""man shall not lie down with man"" - but Jesus also said to love everyone. So I wrestled with the question.",0,sexual orientation
"New Music: Rapping about being taken as a joke, Columbus, Ohio-based rapper Tieran explains the problems he faces as a 'White' rapper, vividly. Watch the official video for #Sick now on #GRUNGECAKE URL @TieranOfficial URL",0,race
Are you – intentionally or unintentionally – creating yes men and women in your organization? URL #leadership URL,0,gender
@winterbrass @Puertorock77_ @WackyW3irdo @_Duhwayne_ @Twitch @winterbrass stfu okay. Thats all i can say. Grocery and Nigger have nothing in comon. Why so avidly deffending her huh. Is she paying you to deffend her or what ? Whats in it for all you ppl deffending her ? So from now on ppl will be droping hard r n words with out consequence?,0,gender
"The roles are About to Be switched up , Females bouta be Out here Fucking Anything While the Dudes are being Reapectable and Innocent ☺☺☺ then we gonna Live longer then Yall , Yall gonna have to Take the Trash... URL",0,gender
Some of you bitches deserve to be used as human shields.,1,gender
@slewtrue611 @Balerstos @DanODonnellShow @kpoulsen No one has to pretend to care about races of people. I care about all human beings. I see people as human beings not by their skin tone.,0,race
The Jews biggest weapon is money take there shit and they will go back to hell where they belong 🔥,1,others
RETWEET if you would let me rub my tits with your dick instead ....... URL,0,gender
"mfers just be out here fucking, no trips to the doctor at all but you fucking. niggas be so disgusting.",1,gender
You sound like cold a faggot literally a bitch,1,sexual orientation
I mean bitch ..go to hell,1,gender
"Two Spirit Indigenous Peoples Association makes New York City Pride history with largest Native contingent ever. TSIPA to march 150 Natives strong in WorldPride/Stonewall 50 Pride Parade celebration June 30, 2019. URL via @IndianCountry #ICTPressPool",0,others
Girls literally only want one thing and it's disgusting URL,1,gender
"May Allah protect the people of Sudan 🇸🇩 ❤️, my little sister goes to protests on weekends to support this and I think that's soooo cute! URL",0,others
"I beat the pussy up like Sonny Liston  My little bitch cute as fuck, she got a subtle lisp huh",0,gender
"Haha who shitted on your ugly ass face this morning , bitch? & you die first 😘 — yea yea yea something something deez fucking nuts in your mouth whore. we like fortnite URL",1,others
@Canna_Knowledge @buddy_guy_dude @revisedroed @tylerthecreator 3 guys stomping the crap out of 1 tiny raghead like raging gorillas? And that's self defence to you?If that's your take on this then you're just a dickless POS like them.,1,others
@_Red_Benny The shit that goes down in Asia and the Middle East defies belief. Putrid cunts.,1,others
Shutting down ISIS to get US and EU on our side?  There is a special place in Hell for you pal.,0,politics
"@isabellemarie96 We're here, we're queer, we're going to be in the office tomorrow. Well that's depressing, autocorrect wtf",0,sexual orientation
Lol yall retards so fucking dumb like give yourself the death penalty or stop tripping over some lame shit,1,others
"may 31st, 11:59pm: quiet  june 1st, 12am: the gays coming out of hiding URL",0,sexual orientation
@tedlieu @realDonaldTrump The shooters ARE NOT immigrants. Think about that. @realDonaldTrump,0,others
@DoingRight1 Why did anyone think allowing hordes of savages like that into the western world would be anything less than a disaster? I cant wait to see the news of citizens rising up and getting rid of these people in their own way bc their leaders have failed em,1,immigration
